date,yhat,yhat_lower,yhat_upper,model,product_name,distributor,key_type,key_id
2025-11-01,557.7,-3362.228949061978,4477.628949061978,sarimax,CoQ10-RED 60ct,KEHE,product_distributor,CoQ10-RED 60ct | KEHE
2025-12-01,557.7,-4243.2128765830785,5358.612876583078,sarimax,CoQ10-RED 60ct,KEHE,product_distributor,CoQ10-RED 60ct | KEHE
2025-10-01,805.8399999999999,-1965.968341651181,3577.648341651181,sarimax,D3 & K2 COMPLEX HI-PO,SUPERNATURAL,product_distributor,D3 & K2 COMPLEX HI-PO | SUPERNATURAL
2025-11-01,805.8399999999999,-3114.0889490619784,4725.768949061978,sarimax,D3 & K2 COMPLEX HI-PO,SUPERNATURAL,product_distributor,D3 & K2 COMPLEX HI-PO | SUPERNATURAL
2025-12-01,805.8399999999999,-3995.072876583078,5606.752876583078,sarimax,D3 & K2 COMPLEX HI-PO,SUPERNATURAL,product_distributor,D3 & K2 COMPLEX HI-PO | SUPERNATURAL
2025-10-01,111.93,-2659.878341651181,2883.7383416511807,sarimax,DAILY GENTLE CLEANSE,SUPERNATURAL,product_distributor,DAILY GENTLE CLEANSE | SUPERNATURAL
2025-11-01,111.93,-3807.9989490619782,4031.858949061978,sarimax,DAILY GENTLE CLEANSE,SUPERNATURAL,product_distributor,DAILY GENTLE CLEANSE | SUPERNATURAL
2025-12-01,111.93,-4688.982876583078,4912.842876583079,sarimax,DAILY GENTLE CLEANSE,SUPERNATURAL,product_distributor,DAILY GENTLE CLEANSE | SUPERNATURAL
2025-11-01,2273.02,-498.7883416511809,5044.82834165118,sarimax,DAILY GENTLE CLEANSE 60SG,THRESHOLD,product_distributor,DAILY GENTLE CLEANSE 60SG | THRESHOLD
2025-12-01,2273.02,-1646.908949061978,6192.948949061978,sarimax,DAILY GENTLE CLEANSE 60SG,THRESHOLD,product_distributor,DAILY GENTLE CLEANSE 60SG | THRESHOLD
2025-11-01,1922.46,-849.3483416511808,4694.268341651181,sarimax,DAILY MULTI TESTOSTERONE UP BOOSTER FOR MEN 60SG,THRESHOLD,product_distributor,DAILY MULTI TESTOSTERONE UP BOOSTER FOR MEN 60SG | THRESHOLD
2025-12-01,1922.46,-1997.468949061978,5842.388949061979,sarimax,DAILY MULTI TESTOSTERONE UP BOOSTER FOR MEN 60SG,THRESHOLD,product_distributor,DAILY MULTI TESTOSTERONE UP BOOSTER FOR MEN 60SG | THRESHOLD
2025-11-01,1152.7500000000002,-1619.0583416511806,3924.558341651181,sarimax,DEEP TISSUE COLLAGEN PURE 80SG,THRESHOLD,product_distributor,DEEP TISSUE COLLAGEN PURE 80SG | THRESHOLD
2025-12-01,1152.7500000000002,-2767.1789490619776,5072.6789490619785,sarimax,DEEP TISSUE COLLAGEN PURE 80SG,THRESHOLD,product_distributor,DEEP TISSUE COLLAGEN PURE 80SG | THRESHOLD
2025-09-01,39.98,-2731.828341651181,2811.788341651181,sarimax,DEEP TISSUE COLLAGEN-PURE,SUPERNATURAL,product_distributor,DEEP TISSUE COLLAGEN-PURE | SUPERNATURAL
2025-10-01,39.98,-3879.948949061978,3959.908949061978,sarimax,DEEP TISSUE COLLAGEN-PURE,SUPERNATURAL,product_distributor,DEEP TISSUE COLLAGEN-PURE | SUPERNATURAL
2025-11-01,39.98,-4760.932876583079,4840.892876583078,sarimax,DEEP TISSUE COLLAGEN-PURE,SUPERNATURAL,product_distributor,DEEP TISSUE COLLAGEN-PURE | SUPERNATURAL
2025-12-01,39.98,-5503.636683302362,5583.596683302361,sarimax,DEEP TISSUE COLLAGEN-PURE,SUPERNATURAL,product_distributor,DEEP TISSUE COLLAGEN-PURE | SUPERNATURAL
2025-10-01,31.979999999999997,-2739.828341651181,2803.788341651181,sarimax,DIGEST AID GLUTEN & DAIRY,SUPERNATURAL,product_distributor,DIGEST AID GLUTEN & DAIRY | SUPERNATURAL
2025-11-01,31.979999999999997,-3887.948949061978,3951.908949061978,sarimax,DIGEST AID GLUTEN & DAIRY,SUPERNATURAL,product_distributor,DIGEST AID GLUTEN & DAIRY | SUPERNATURAL
2025-12-01,31.979999999999997,-4768.932876583079,4832.892876583078,sarimax,DIGEST AID GLUTEN & DAIRY,SUPERNATURAL,product_distributor,DIGEST AID GLUTEN & DAIRY | SUPERNATURAL
2025-11-01,3286.18,514.371658348819,6057.98834165118,sarimax,DOUBLE POTENCY 5 HTP EXTRA 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY 5 HTP EXTRA 60SG | THRESHOLD
2025-12-01,3286.18,-633.7489490619782,7206.108949061978,sarimax,DOUBLE POTENCY 5 HTP EXTRA 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY 5 HTP EXTRA 60SG | THRESHOLD
