distributor,product_name,revenue_ytd,units_ytd,txn_count
KEHE,Steel-Libido RED 75ct,145455.80000000214,9745,2898
KEHE,Stored Fat Belly Burner 60ct,128786.7299999961,11379,3344
KEHE,Stress-Defy 84ct,2862.8599999999997,516,45
KEHE,Sunny Mood with 5-HTP 80ct,21105.030000000002,1455,97
KEHE,Sunny Mood with Rhodiola 75ct,6732.7899999999945,414,153
KEHE,Super Cleanse 100ct,40181.039999999906,4196,734
KEHE,Super Cleanse 200ct ECONOMY SIZE,25326.259999999987,1639,142
KEHE,Testosterone-Extra Fat Burner 60ct,14053.230000000043,864,145
KEHE,Testosterone Mega-Boost Red 56ct,121492.44000000328,7241,4607
KEHE,Testosterone Mega-Boost RED 68ct 300cc,6758.779999999999,346,81
KEHE,Testosterone UP 60ct,3631.6400000000003,203,47
KEHE,Testosterone UP RED 60ct,32594.129999999903,1719,313
KEHE,Testosterone Up Strength & Size 60ct,8794.809999999985,450,120
KEHE,Thermo Burn Stubborn Fat Metabolizer 60ct,16317.42999999999,1408,171
KEHE,Triple Diet Fat Reduction Max Accelerator 72ct,4194.420000000002,327,96
KEHE,Triple-Tea Fat Burner 75ct,11991.999999999985,822,252
KEHE,"Type I, II & III Collagen Peptides + Astaxanthin 60ct",6883.899999999999,425,75
KEHE,Ultimate Cleanse (2 Part Program),44489.53999999995,2623,200
KEHE,Urgent Rescue Mega Vita-C 60ct,287.76,24,7
KEHE,Urinary Flush & Support 60ct,1240.6200000000001,147,37
KEHE,V02 Max Performance Fat Burner 60ct,53.97,6,1
KEHE,Vision Sharp Multi-Nutrient Eye Health 42ct,10717.849999999977,748,240
KEHE,Vitality & Recovery Testosterone Up for Men 60+ 60ct,230.89,11,6
KEHE,Weekend Colon Flush 16ct,2193.7299999999987,419,110
KEHE,Whole Body Turmeric Curcumin C3 60ct,23224.629999999997,2223,367
PALKO,15 Day Weight Loss Cleanse,1460.3700000000003,126,46
PALKO,2 in 1 Cleanse & Flush Weight Loss Support,716.65,52,21
PALKO,2 in 1 Kidney & Liver Super Cleanse,3573.340000000001,211,74
PALKO,3 in 1 Joint Formula,2850.0400000000004,130,54
PALKO,7 Day Ultimate Cleanse,2228.4100000000003,195,82
PALKO,Advanced Absorption Mega B Complex,4445.210000000001,346,124
PALKO,Aloe & Triphala Active Cleanse & Probiotics,162.20000000000002,12,5
PALKO,Anti Gas Digestive Enzymes,551.15,35,13
PALKO,Ashwagandha Extra Strength Mind Body,1380.06,84,42
PALKO,Beet Root RED,3345.630000000001,189,70
PALKO,Biotin 6000 Strength & Protection,352.52,23,12
PALKO,Bloat Away,689.8499999999999,46,20
PALKO,Blood Sugar Balance Berberine + Fat Burner,2430.36,117,49
PALKO,Body Fat Diet System Six RED,362.7,19,9
PALKO,Brain Awake,1656.92,105,41
PALKO,Brain Awake RED,820.26,56,21
PALKO,CBD 1000mg Balm,1208.45,29,13
PALKO,CBD 1000mg Peppermint,1418.83,47,24
PALKO,CBD 1000mg Unflavored,1905.5,61,29
PALKO,CBD + 15mg,1100.33,48,27
PALKO,CBD 15mg + Melatonin Gummy Lemon Lime,1250.78,45,19
PALKO,CBD 2000mg Peppermint,2371.48,51,25
PALKO,CBD 2000mg Unflavored,1858.21,40,21
PALKO,CBD 30mg,4332.380000000001,116,47
PALKO,CBD 30mg Gummy Raspberry Ripple,2557.550000000001,91,42
PALKO,CBD 50mg,6246.089999999998,118,52
PALKO,CBD Gummy 15mg Mixed Berry,852.1800000000001,32,18
PALKO,CBD + Power to Sleep,406.4100000000001,24,12
PALKO,CBD + Turmeric,1877.2000000000003,93,29
PALKO,CLA Lean Body Fat Reduction,470.92999999999995,31,16
PALKO,CoQ 10 RED,304.90999999999997,14,6
PALKO,Daily Gentle Cleanse,639.0900000000001,46,22
PALKO,Daily Multi Testosterone UP Booster for Men,1032.73,49,21
PALKO,Deep Tissue Collagen Pure,490.54,30,12
PALKO,Double Potency 5 HTP Extra,295.31000000000006,23,12
PALKO,Double Potency Ginkgo Biloba,626.6600000000001,35,20
PALKO,Energy & Endurance Testosterone UP Men Over 40,1406.44,57,24
PALKO,EstroPause Menopause Support,1396.3600000000001,100,43
PALKO,Extra Strength CBD + Power to Sleep,59.13,3,2
PALKO,Extra Strength Colon Flush,363.77,25,9
PALKO,Female Balance KSM-66 Ashwagandha +Evening Primrose,160.01,8,3
PALKO,Forskolin Fat Loss Diet Stimulator,365.94000000000005,22,11
PALKO,Ginkgo Smart,2739.7799999999997,199,92
PALKO,Good Mood Sleep PM,247.82999999999998,17,7
PALKO,Green Tea Fat Metabolizer,1024.4500000000003,57,30
